,name
0,tcs
1,accenture
2,icicibank
3,cognizant
4,hdfcbank
5,infosys
6,l&t
7,capgemini
8,techmahindra
9,hcltechnologies
10,tatamotors
11,ibm
12,reliancejio
13,genpact
14,axisbank
15,concentrixdakshservice
16,wipro
17,vodafone
18,hdbfinancialservices
19,bhartiairtel
20,kotakmahindrabank
21,amazon
22,reliance
23,bajajfinserv
24,indusindbank
25,samsung
26,hindujaglobalsolutions
27,indianarmy
28,mahindra&mahindra
29,ericsson
30,marutisuzuki
31,ideacellular
32,intelenetglobalservice
33,teleperformance
34,wns
35,relianceretail
36,iciciprudentiallifein
37,ciplapharmaceutical
38,aegisglobal
39,hsbc
40,janalakshmifinancialse
41,reliancecommunications
42,drreddy's
43,sutherlandglobalservic
44,dxctechnology
45,hewlettpackard
46,futuregroup
47,homecreditfinance
48,adityabirlafashionand
49,mphasis
50,bajajallianzlifeinsur
51,yesbank
52,flipkart
53,lupin
54,wiproconsumercare&li
55,ernst&young
56,oppo
57,hdfclife
58,asianpaints
59,paytm
60,deloitte
61,nokia
62,hindustanunilever
63,wiproinfotech
64,wiprobps
65,shriramtransportfinanc
66,ashokleyland
67,axissecurities
68,hyundaimotor
69,shapoorjipallonji
70,sunpharmaceuticalindus
71,zyduscadila
72,vivosmartphone
73,itc
74,apollohospitals
75,ultratechcement
76,muthootfincorp
77,mahindra&mahindrafina
78,nttdata
79,iifl
80,idfcfirstbank
81,dominospizza
82,ujjivansmallfinanceba
83,bosch
84,tvsmotor
85,unitedhealth
86,exlservice
87,wiproenterprisesltd
88,jbmgroup
89,eclerx
90,aurobindopharma
91,heromotocorp
92,niittechnologies
93,muthootgroup
94,simplexinfrastructures
95,cyient
96,oracle
97,mylanlaboratories
98,syntel
99,maxlifeinsurance
100,fidelitynationalinform
101,jpmorganchase
102,tatateleservices
103,justdial
104,siemensindia
105,pwc
106,lavainternational
107,firstsource
108,dell
109,arvindgroup
110,statebankofindia
111,manappuramfinance
112,mothersonsumisystems
113,oyorooms
114,godrej&boycemanufactu
115,jswsteel
116,larsen&toubroinfotech
117,tatasteel
118,abbotthealthcare
119,fullertonindia
120,mcdonald's
121,gatikwe
122,renaultnissan
123,lgelectronics
124,ncc
125,suzlongroup
126,tatacommunications
127,rbs
128,fordmotor
129,shoppersstop
130,sodexo
131,mindtree
132,hindustancocacolabeve
133,omegahealthcare
134,royalenfield
135,atos
136,bajajauto
137,subros
138,bandhanbank
139,ausmallfinancebank
140,ienergizer
141,heterodrugs
142,meghaengineeringandin
143,honda
144,jll
145,kpmg
146,equitassmallfinanceba
147,thermax
148,huaweitechnologies
149,pepsico
150,cgigroup
151,hclinfosystems
152,schneiderelectric
153,titancompany
154,dtdcexpress
155,sbilifeinsurancecompa
156,futureretail
157,hexawaretechnologies
158,reliancelifeinsurance
159,cmsitservices
160,abbgroup
161,johndeere
162,fortishealthcare
163,statestreetsyntel
164,cbre
165,ipcalaboratories
166,tafetractorsandfarm
167,glenmarkpharmaceuticals
168,bnymellon
169,lifeinsurancecorporati
170,cholamandalaminvestment
171,sbicards&paymentserv
172,kecinternational
173,standardcharteredbank
174,vecommercialvehicles
175,dewanhousingfinanceco
176,eurekaforbes
177,bel
178,intaspharmaceuticals
179,pfizer
180,hondamotorcycle&scoot
181,rivigo
182,landmarkgroup
183,bhushanpower&steel
184,icicilombardgeneralin
185,torrentpharmaceuticals
186,alkemlaboratories
187,havells
188,indianoilcorporation
189,acc
190,deutschebankag
191,kpittechnologies
192,ustglobal
193,jindalsteelandpower
194,varunbeverages
195,iqvia
196,ecomexpress
197,indiamartintermesh
198,g4s
199,l&tfinance
200,flextronicstechnologies
201,aircel
202,bajajelectricals
203,dmart
204,indiannavy
205,americanexpress
206,radissonhotels
207,macleodspharmaceuticals
208,dabur
209,apollotyres
210,alembicpharmaceuticals
211,hindalcoindustries
212,delhipublicschool
213,rsplgroup
214,videocond2h
215,maerskglobalservicece
216,bhel
217,magmafincorp
218,capita
219,wellsfargo
220,patanjaliayurved
221,dcbbank
222,teamlease
223,amdocs
224,thomsonreuters
225,tvssundramfasteners
226,pidiliteindustries
227,bigbazaar
228,karvyfintech
229,maxhealthcare
230,delhivery
231,ranetrwsteeringsystem
232,ceattyres
233,jetairways
234,nestle
235,adanipower
236,24/7customer
237,wockhardt
238,lifestyle
239,vishalmegamart
240,voltas
241,dilipbuildcon
242,cafécoffeeday
243,yamahamotor
244,edelweiss
245,jmcprojects
246,kotakmahindaralifeins
247,bluestar
248,pnbmetlife
249,exidelifeinsurance
250,birlasunlifeinsurance
251,exideindustries
252,mrftyres
253,afconsinfrastructure
254,rblbank
255,udaan
256,itcinfotechindia
257,cumminsindia
258,pvrcinemas
259,aakashinstitute
260,bluedartexpress
261,ajantapharma
262,tatamotorsfinance
263,biocon
264,microlabs
265,bankofamerica
266,tataaialifeinsurance
267,randstad
268,sterling&wilson
269,emcurepharmaceuticals
270,mankindpharma
271,punjlloyd
272,forcemotors
273,bigbasket
274,shahiexports
275,karvydatamanagementse
276,iprocessservices
277,tatacapitalfinancials
278,mahindraholidays&reso
279,jktyres
280,actfibernet
281,3iinfotech
282,sobha
283,amararajagroup
284,powermechprojects
285,raymond
286,ambujacements
287,vertexcustomersolution
288,gskpharmaceuticals
289,indiabulls
290,globallogic
291,idbibank
292,emami
293,brakesindia
294,aonhewitt
295,reliancedigital
296,quess
297,industowers
298,virtusaconsultingservi
299,conduent
300,essarsteel
301,iksula
302,tataaiggeneralinsuran
303,hindustanaeronautical
304,icicisecurities
305,zensartechnologies
306,gvkemergencymanagement
307,olacabs
308,cmsinfosystems
309,policybazaar
310,bergerpaints
311,gabrielindia
312,parleproducts
313,britannia
314,godrejgroup
315,oberoigroupofhotels
316,delphitvs
317,dalmiabharatcement
318,adpsolutions
319,lucastvs
320,aricent
321,thehimalayadrugcompan
322,dainikbhaskargroupof
323,kfc
324,deloittesupportservice
325,thejaypeegroup
326,cadilapharmaceuticals
327,btgroup
328,dharampalsatyapalgroup
329,sony
330,whirlpool
331,intextechnologies
332,toyotakirloskarmotor
333,tajhotelsresortsandp
334,narayanahealth
335,hindujagroup
336,accesshealthcare
337,srf
338,endurancetechnologies
339,coromandelinternational
340,gebbshealthcaresolutio
341,uflex
342,kalpatarupowertransmis
343,metro
344,barclayssharedservices
345,hdfcsales
346,tvslogisticsservices
347,hindustanconstructionc
348,cromptongreaves
349,consolidatedcontractors
350,robertboschengineering
351,fiserv
352,gannondunkerley
353,shreecement
354,parleagro
355,adeccogroup
356,wabco
357,axabusinessservices
358,cogenteservices
359,cholamandalammsgeneral
360,interglobetechnologies
361,volkswagen
362,yazaki
363,internationaltractors
364,tvscreditservices
365,angelbroking
366,sifytechnologies
367,panasonic
368,samsungmobile
369,swiggy
370,soprasteria
371,aforeservecom
372,infoedge
373,varrocgroup
374,computersciencescorpor
375,ocwenfinancialsolution
376,johnsoncontrols
377,reckittbenckiser
378,iqorglobalservices
379,exlindia
380,hdfcergogeneralinsura
381,unitedphosphorus
382,vmart
383,bharatpetroleum
384,mahindraruralhousingf
385,telenor
386,datamaticsglobalservic
387,kansainerolacpaints
388,futuregeneraliindiain
389,jcb
390,badveengineering
391,kentrosystems
392,valuelabs
393,tatatechnologies
394,saintgobain
395,jkcement
396,sigmaelectricmanufactu
397,bhartiaxalifeinsuranc
398,sgs
399,utkarshsmallfinanceba
400,motherdairyfruit&veg
401,tridentgroup
402,srldiagnostics
403,tatasky
404,gmrgroup
405,tikonainfinet
406,microland
407,myntra
408,byju's
409,akumsdrugs&pharmaceut
410,lodhagroup
411,inoxleisure
412,johnson&johnson
413,dhlexpress
414,walmart
415,akzonobelindia
416,nayaraenergy
417,procter&gamble
418,bharatforge
419,bharatfinancialinclusi
420,adaniwilmar
421,pantaloons
422,sterlitetechnologies
423,relaxofootwear
424,kotaksecurities
425,gammonindia
426,generalelectricinterna
427,marriottinternational
428,maxfashion
429,verizon
430,drlalpathlabs
431,ushainternational
432,novartishealthcare
433,jwmarriott
434,sapientcorporation
435,itchotels
436,mothersonautomotivetec
437,bayer
438,reliancetrends
439,reliancegeneralinsuran
440,cromā
441,petrofac
442,hcltechnologiesbposer
443,apotexresearch
444,aecom
445,columbiaasia
446,fujitsu
447,ntpc
448,issfacilityservices
449,persistentsystems
450,aisdistributionservice
451,cybage
452,synechron
453,ivrclinfrastructures&
454,steelstripswheels
455,karvystockbroking
456,barclays
457,aartiindustries
458,tatachemicals
459,dishtv
460,cavinkare
461,csscorp
462,lenskart
463,societegenerale
464,medantathemedicity
465,questglobal
466,apollomunichhealthins
467,vfsglobalservices
468,unisys
469,narayanaeducationalsoc
